
time="2023-04-15 15:19:52" level=info msg="this is  日志"
time="2023-04-15 15:21:35" level=info msg="this is  日志"
time="2023-04-16 11:41:50" level=info msg="| 200 |    1.040414ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:42:00" level=info msg="| 200 |   10.508144ms |  192.168.96.128 | POST | /login"
time="2023-04-16 11:42:04" level=info msg="| 200 |  1.592129662s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 11:42:11" level=info msg="| 200 |  1.987072454s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-03"
time="2023-04-16 11:42:30" level=info msg="| 200 |     4.79908ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:42:38" level=info msg="| 200 |  392.241222ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:43:51" level=info msg="| 200 |   1.38515594s |  192.168.96.128 | GET | /asiacloud/vhost"
time="2023-04-16 11:43:54" level=info msg="| 200 |  1.737641093s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-04"
time="2023-04-16 11:44:17" level=info msg="| 200 |  1.889304787s |  192.168.96.128 | GET | /asiacloud/vhost/my101-site-03"
time="2023-04-16 11:44:32" level=info msg="| 200 |  1.858898178s |  192.168.96.128 | POST | /asiacloud/vhost/my101-site-03"
time="2023-04-16 11:44:53" level=info msg="| 200 |      2.9537ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:44:56" level=info msg="| 200 |  418.993571ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:45:51" level=info msg="| 200 |  1.129146591s |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:46:40" level=info msg="| 200 |  489.738983ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:46:44" level=info msg="| 200 |  390.948522ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:48:28" level=info msg="| 200 |    4.554031ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 11:48:30" level=info msg="| 200 |    3.065664ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:48:32" level=info msg="| 200 |    2.698348ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 11:48:33" level=info msg="| 200 |    3.125632ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:48:41" level=info msg="| 200 |    4.307496ms |  192.168.96.128 | GET | /airborne"
time="2023-04-16 11:48:42" level=info msg="| 200 |    3.337864ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:48:51" level=info msg="| 200 |  409.630029ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:49:27" level=info msg="| 200 |   488.71639ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:49:31" level=info msg="| 200 |  206.958134ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:49:37" level=info msg="| 200 |    2.299793ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:49:39" level=info msg="| 200 |  508.869359ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:51:34" level=info msg="| 200 |    4.495993ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:51:41" level=info msg="| 200 |  385.512849ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:52:12" level=info msg="| 200 |   528.75502ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:52:32" level=info msg="| 200 |  374.176067ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:53:00" level=info msg="| 200 |  202.665707ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:53:03" level=info msg="| 200 |   396.52358ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:54:26" level=info msg="| 200 |    3.149466ms |  192.168.96.128 | POST | /login"
time="2023-04-16 11:54:29" level=info msg="| 200 |    3.717157ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:54:31" level=info msg="| 200 |  402.644789ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:54:49" level=info msg="| 200 |  522.564251ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:55:06" level=info msg="| 200 |  205.394064ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:55:10" level=info msg="| 200 |  423.749659ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:56:01" level=info msg="| 200 |  201.703566ms |  192.168.96.128 | POST | /im/line/3"
time="2023-04-16 11:56:06" level=info msg="| 200 |  381.170528ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:56:48" level=info msg="| 200 |  385.495794ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:58:12" level=info msg="| 200 |  411.480492ms |  192.168.96.128 | POST | /im/line"
time="2023-04-16 11:58:34" level=info msg="| 200 |    3.893131ms |  192.168.96.128 | GET | /im"
time="2023-04-16 11:58:36" level=info msg="| 200 |  392.264565ms |  192.168.96.128 | POST | /im/line"
